Consultant,Client,Engagement,Position,TaskGroup,ReportDate,TaskDescription,BillableHours,NonBillableHours,BillingRate,Hours Bill,FirmSharePercent,Total Pay,Description_Time
Alex Liu,,,,,,,,,,,,,
,New Life CFO Services,,,,,,,,,,,,
,,NLCFO Admin,,,,,,,,,,,
,,,Business Intelligence Developer,,,,,,,,,,
,,,,NLCFO - Infrastructure,,,,,,,,,
,,,,,8/6/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,8/7/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,8/8/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,8/9/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,8/12/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,8/13/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,8/14/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,8/15/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,8/16/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,8/28/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,8/29/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,8/30/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,8/31/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/1/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/2/2017,Website Design,6,,$25.00 ,$150.00 ,0,$150.00 ,
,,,,,9/3/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,9/4/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/5/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/6/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/7/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/8/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/11/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,9/13/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/14/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/15/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,9/16/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,9/17/2017,Website Design,8,,$25.00 ,$200.00 ,0,$200.00 ,
,,,,,9/18/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/19/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/20/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/21/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/22/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/23/2017,Website Design,7,,$25.00 ,$175.00 ,0,$175.00 ,
,,,,,9/24/2017,Website Design,6,,$25.00 ,$150.00 ,0,$150.00 ,
,,,,,9/25/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/26/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/27/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,9/28/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/29/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,9/30/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/1/2017,Website Design,7,,$25.00 ,$175.00 ,0,$175.00 ,
,,,,,10/2/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/3/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,10/4/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/5/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,10/6/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/7/2017,Website Design,6,,$25.00 ,$150.00 ,0,$150.00 ,
,,,,,10/8/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,10/9/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/10/2017,Website Design,5,,$25.00 ,$125.00 ,0,$125.00 ,
,,,,,10/11/2017,Website Design,6,,$25.00 ,$150.00 ,0,$150.00 ,
,,,,,10/12/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/13/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/14/2017,Website Design,6,,$25.00 ,$150.00 ,0,$150.00 ,
,,,,,10/15/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/16/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/17/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/18/2017,Website Design,1,,$25.00 ,$25.00 ,0,$25.00 ,
,,,,,10/19/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,10/22/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/24/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/25/2017,Website Design,3,,$25.00 ,$75.00 ,0,$75.00 ,
,,,,,10/26/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/27/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,,10/28/2017,Website Design,7,,$25.00 ,$175.00 ,0,$175.00 ,
,,,,,10/29/2017,Website Design,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,10/30/2017,Website Design,4,,$25.00 ,$100.00 ,0,$100.00 ,
,,,,NLCFO - Infrastructure Total,,,258,,,"$6,450.00 ",,"$6,450.00 ",
,,,,NLCFO - Prospects & Proposals,,,,,,,,,
,,,,,8/5/2017,Meeting with Prospects,2,,$25.00 ,$50.00 ,0,$50.00 ,
,,,,,8/14/2017,Other,1,,$25.00 ,$25.00 ,0,$25.00 ,demo review
,,,,,9/15/2017,Meeting with Prospects,1,,$25.00 ,$25.00 ,0,$25.00 ,
,,,,NLCFO - Prospects & Proposals Total,,,4,,,$100.00 ,,$100.00 ,
,,,Business Intelligence Developer Total,,,,262,,,"$6,550.00 ",,"$6,550.00 ",
,,NLCFO Admin Total,,,,,262,,,"$6,550.00 ",,"$6,550.00 ",
